clean_text,sentiment_cont,sentiment_scaled
modi lead bjp gathbandhan has lost the 2019 parliamentary election due arrogance abusing opposition rafael demonetization cagand harassing opposition with the tools cbi income tax fera and jumlebaazi,-0.9042,-0.72336
you are wrong defeat narendra modi else amit shah will forever ,-0.7269,-0.58152
these bank accounts were opened modi how shamelessly said going give money bank people his family made poor poorer and talks about welfare schemes clown cant think original ideas,-0.8386,-0.67088
modi sir didnt expect our internal scamgress terrorists support porkistani terrorists failed that,-0.8689,-0.6951200000000001
should not hide behind convenient word play this blatant abuse power and violation rules modi making mockery this election and the election commission thats managing ,-0.7771,-0.62168
choukidar means daythis modi days modi finished brokers cheating illegal works our country some brokers suffering from modi why only because modi always against illegal works some brokers against modi now har modi ghar ghar modi jago hindus jago,-0.9313,-0.74504
modis track record yrs much better than the yrs record nehru indira rajiv sonia taken together lets debate shekhar but know youre suffering from selective amnesia and will never accept challenge,-0.7437,-0.59496
noticed and make them silent when they start asking their rubbish questions what modi did modi did what your congress never did their 70yrs rule modi did this you can make new lies and not carry your old ones public get bored your same old lies,-0.7717,-0.6173600000000001
jaipur man booked for sedition over death threat narendra modi facebook ,-0.8779,-0.70232
the diu modi taklu shah cannot dare tell about their work last yrs during this govt time unemployment farmer distress crony corruption price rise poor edn health care has increased they are diverting attn misleading peopleshame,-0.7783,-0.6226400000000001
leader javed ahmed rana has said that had the power would like put prime minister narendra modi behind the bars charges murdering all those who have been killed these past five years read more ,-0.8555,-0.6844000000000001
modis address market volatility reveals note ban fear still looms large ,-0.8126,-0.65008
the poorest the poor whom kanhaiya said representing can afford collect lakh hrs then indeed achche din has came under modi,-0.765,-0.6120000000000001
let them release its pathetic tat even people who modis die hard fans will shudder ,-0.8402,-0.67216
and you thought china misusing biometrics for citizen policing bad here neo distopia china building database dna for all uyghar citizens imagine the outrage modi govt even talked about for kashmiri terrorists naxalites ,-0.8979,-0.7183200000000001
after pakistan wouldn’ dare instigate civil war revolution india but swain create internal crisis give modi reason impose emergency tries another assured they will prison before you can oink ,-0.9306,-0.74448
"see how mentally ill
cowards abusing our leaders modi indias mahamari",-0.7003,-0.5602400000000001
this how bjp instills hate when ground they fail then they make fake ids muslim names try prove muslims support modi ,-0.8225,-0.658
"more than terrorist and pakistan want you loose badly feku modi
",-0.8773,-0.70184
listened modi speeches today very very very boring what will say the coming days subscribers for his opposition bashing must ask for votes his achievements where are jobs what about farmers distress ,-0.7604,-0.60832
modi republic bharatit congress tactic keep repeating the poverty scheme ideology before polls nehru spoke about poverty did rajiv and then sonia gandhi followed suit and now even rahul gandhi,-0.765,-0.6120000000000001
"according the survey about percent indians believe that pakistan threat the country and coincidentally the same percentage are worried about lack jobs
",-0.7845,-0.6276
"perhaps she telling the truth
for the last years many people were predicting modi would create war like situation with pakistan just before election 2019 had miserably failed all counts",-0.6597,-0.52776
looks something terrible happening them all asses under fire everyone them making noise and above tweets these guys must literally awake daily after 3am cos all strikes modi happened that time only,-0.7906,-0.63248
they are calling modi rapist when their own party president who had been accused this crime and the victim from amethi whose father was incidentally inc worker disappeared with her family,-0.9104,-0.7283200000000001
please remove fakendra modis chor and incompetent corrupt nautankiwaj coward fearful makkar government,-0.7906,-0.63248
hey either you lied 2012 chowkidar narendra modi lying today which note issue date may 2012 ,-0.7184,-0.57472
cong was perceived corrupt rightfully voted out modi promised good days but has failed the mandate nothing agst anyone just india comments actions only modi opaque dishonest corrupt dictator whimsical greedy power any cost,-0.8834,-0.70672
when say india weaker than chinaim comparing all the public data available about military hardwareresources skills available bothwhen saying todaymodi can beat pakistani dont see any decrease power part pakistanthey still have armed warheads,-0.4404,-0.35232
will absurd too compare this loser and backstabber with modi,-0.6124,-0.4899200000000001
really politician has been abused and trolled everyone especially your much modi,-0.5106,-0.40848000000000007
this very unsportsmanlike shivsena through your editorials criticised bjp including modi shah personly like anything years someone responds you are crying sport,-0.5267,-0.42135999999999996
certainly modi involved more rapes than else why wouldnt they make akbar the and replace his position with modi ,-0.5256,-0.42047999999999996
what think becoz modi heat wave don’ worry will get hotter soon and sure will sweating like hell ,-0.5719,-0.45752
search the arguments given lawyer nirav modi london court ,-0.4019,-0.32152000000000003
under modi raj women faced unemployment rate 189 ,-0.4404,-0.35232
many software engineers have turned anti modi anti bjp recent time influence eco system,-0.5574,-0.44592000000000004
only modi can develop north east india and reduce the threat accession china because congress has done nothinhg for north east india decades,-0.5267,-0.42135999999999996
there not much left destroyguess who did most the damage ,-0.539,-0.4312
"rafale deal row modi says there shame standing with industrialists source youtube via dailyhunt download now
",-0.4767,-0.38136000000000003
see the face modi criminal want avenge someone you forget about gandhi family you couldn’ even look after your family now shouting against others family ,-0.6124,-0.4899200000000001
modi shah ruled indianow rulling bjp plan may shah becm mpthen cmof gujaratafter ths election bjp will through big defeat modi may take break from politics chain events happining ,-0.4588,-0.36704000000000003
2009 with just jdu bjp and that too without modi won 3240,-0.4585,-0.3668
apparently rss and modi fanboy also womanizer abuser and woman beater given the overall misogynist mood fits right ,-0.5574,-0.44592000000000004
years modi raj and that poor not gullible guy couldnt afford footwear thats the extent modis developmental programs highly doubt ,-0.5835,-0.46680000000000005
tej bahadur contesting against modi from varanasi you consider yourself true nationalist you would vote for actual jawan instead the liar politician who exploits jawans for votes how’ the josh,-0.4404,-0.35232
just declare your finances first can worry about modis marital status later,-0.4404,-0.35232
should vote modi for national war memorial after years ,-0.5994,-0.47952000000000006
» modi’ middle east deals snub iran – foreign policy ,-0.4215,-0.3372
modi the biggest scam india has seen,-0.5719,-0.45752
the nyay scheme has the twin objectives giving money the poorest families india remonetising the economy damaged demonetisation says rahul chal jhoota  ,-0.6124,-0.4899200000000001
another road block for “modi”,-0.4404,-0.35232
scientist saraswatex drdo chief who part the modi governments niti aayog rss headquarters was involved financial irregularities while drdo there another scientist madhavan nair isro chief who was allegedly involved ₹578 crores antrix scam,-0.5719,-0.45752
former nsa shivshankar menon says drdo head never sought permission for asat test everyone associated with modi govt are turning blatant liars and concocter,-0.5267,-0.42135999999999996
bsf jawan who raised food alarm fight varanasi read ,-0.6124,-0.4899200000000001
"‘oppn scared chowkidar people trust’ assam modi targets rivals via namo app
",-0.4404,-0.35232
varun aisi taisi modi gandhi corruption and left can understood but what this aisi taisi democracy sounds very very dangerous what kind ideology this which openly slam democracy are looking for alternative here ,-0.5286,-0.42288
ां्ेी्ि modi’ cruel demonetisation made millions indians jobless time for payback and make modi jobless ,-0.5859,-0.46872
this issue comes days after the railways was found violation the poll code for issuing tickets with modis pictures them narendra modi ministry railways government india ,-0.4939,-0.39512
you are calling all people chor who are with modi you are forgetting that you politicians beg for vote front all these chor people call them shame you,-0.4767,-0.38136000000000003
india election 2019 modi says india now space power bbc news and sadly still child malnutrition superpower ,-0.4215,-0.3372
modi contest then can winotherwise one else can defeat familyb there,-0.4588,-0.36704000000000003
nobody believes the corrupt gandhi family after cheating indians for years that why vote modi again ,-0.5574,-0.44592000000000004
knowshe will punished for his gold scamnirav modi getting caught soon,-0.4588,-0.36704000000000003
could ask you questions about the state the economy about the number farmer suicides which have not decreased over the last five years about the continued destruction the ganga that modi promised rejuvenate about unemployment being 45year high india,-0.5859,-0.46872
modi doesnt need cant get spbsp allies rahul could have got ldf ally think major thing that rahul trying maximize congress while ignoring what ldf will think,-0.4019,-0.32152000000000003
weapon system must strike target least 800km above the earths surface for considered antisatellite weapon indias hit its 300km meaning was less asat test and more election stunt ,-0.5994,-0.47952000000000006
remove congress poverty will also away says modi live updates ndtv ,-0.5106,-0.40848000000000007
must listen says modi government trying divert attention from real issues hide its own failure ,-0.6124,-0.4899200000000001
thats exactly why all these lowest creations are joining together fight against modi despite their vengeful differences,-0.3818,-0.30544
why this coward didnt join the dynasty the last couple years least when was very clear that modishah arent even giving him pinky finger forget ministry seat ,-0.6035,-0.48280000000000006
did took the name his party and whats wrong addressing his nation and second part upa govt denied the permission and fund whereas modi gave the same soon came power ,-0.5106,-0.40848000000000007
for dumb question the answer yes modiji works only for elections love some more bad news for modi haters getting thumping majority,-0.5256,-0.42047999999999996
lost its shame and pride abhi modi pair padi hui,-0.4588,-0.36704000000000003
congress lying you bro modi doesnt hate muslims modi hates radical muslims modi asked mohd bin salman release million indian muslims saudi arabia who are jail they did not know arabian laws,-0.5109,-0.40872
"now congress have explain that why this party discouraged indian missile devlopment programme shame you
",-0.397,-0.31760000000000005
get representative who can lead india other than modi think really hard indian and speak not him then who and lets not take about puppets who only embarss you wen they open mother whose history brought limelight will shame mother india,-0.5849,-0.46792
"rss declares war modishah
",-0.5994,-0.47952000000000006
you mrraghuram rajan doesnt doubt international statistics what does mean means even poor people has earnings that mean poor people too has jobs under shri narendra modi jis governance job market growing under shri narendra modi ,-0.5252,-0.42016000000000003
"today the chowkidar reduced the highest post the indian government that lowly govt spoky 
",-0.25,-0.2
"politics has two rrs reel and real
modi said was reel rahul said real 72000 yearly acceptable lakhs each account unacceptable did anyone receive lakhs there account ",-0.1779,-0.14232
what happened you run away from modi jumlabazi andh bhagat andhda raha besharami haad come real issue stop jumlabazi jai hind  ,-0.296,-0.2368
congress always relies gandhi nehru indira rajiv godse savarkar then drdo russia and china antisatellite and will blame hindus who voted for bjp ,-0.34,-0.272
done for the day modi confuse kar diya aaj  ,-0.2263,-0.18104
was corrupt sonia was corrupt too modi ever has same tendency future will jail too relax and stop worrying about modi ,-0.1779,-0.14232
this the best phase going worst will the second third term coz neither forgets his friends nor forgive his foes ,-0.1994,-0.15952
her husband used get commission from mnrega once modi came power all middle men were removed and this lady lost her commission,-0.3182,-0.25456
not understand why everyone right from congress party communist etc are vehemently opposing modi every action him being questioned and has been criticised for almost everything everyday can somebody explain the reason,-0.128,-0.1024
kept the country deprived national security welfare development honest governance talking about eliminating the poverty cmon people make the right choice bring modi back ,-0.1779,-0.14232
dude every time you call yourself apolitical political satirist real one put shame keep simple call yourself anti modi activist still sounds better than communist ,-0.3612,-0.28896000000000005
modi also live for few years only like you not god like you without modi also india will move with 130 crores brothers and sisters,-0.1088,-0.08704
"the truth
•india’ demonetization debacle
the country’ bungling effort cut down cash has undermined narendra modi’ credibility
sadanand dhume
",-0.3182,-0.25456
you are stupid think that people france can only read international media and cant follow indian news media follow both thats why know better information modi bhakths will never accept the truth know well,-0.3707,-0.29656
via modi india shot down low orbit satellite ,-0.2732,-0.21856
lack general knowledge son world leaders know and say that only modi stood against china made china retreat from doklam some research son,-0.128,-0.1024
filth your face and attitude why should madhavan tell ways when have 100s ways find out the truth about modibut wouldn’ that instead will attack madhavan,-0.2023,-0.16184
again suspense from modi will addressing nation within hour aise lag rha movie bna dia nation chowkidari charam ,-0.34,-0.272
"like blind followers least modi followers read and then follow never said will give 15lakhs
but hey how can say anything against pidi
sorry bro",-0.1406,-0.11248000000000001
isro chief madavan nair hails for showing the political will for mocks modi theatrics understands the difference between leader and joker thats why joker opposition ,-0.25,-0.2
why shoot the buggers ,-0.34,-0.272
give days and demonisation proved wrong will gladly accept whatever punishment the public want give modi 2016 why are you choosing him instead nation then  ,-0.25,-0.2
sirs varanasi substation number provided online are all nonfunctional how does one get through the departmentwill these departments ever live the work culture exemplifies distressed citizen,-0.3612,-0.28896000000000005
and yes any alien will catchd you thn dont say please help ,-0.1331,-0.10648
wasn’ that expected linking the upcoming movie “ narendar modi” with election and filing writ petition get stay order try everything you can but and will unstoppable force,-0.296,-0.2368
this the condition congress blind bhakts modi despite fulfilling everything said fenku for them and announcing which despite being impractical visionary for them and they call modi supporters bhakts illogical ,-0.3769,-0.30152
have seen many such empty chairs 2014 also fact vote will the name modi and has not yet started the wet dreams this chota mota jain and others will shattered 23rd may,-0.296,-0.2368
because was rajyasabha member from congress used his privileges and ran away but modi made sure does come back and get the punishment for the mess has created,-0.3182,-0.25456
trying hard show there some issues between bjp seniors and modi all seniors are above and are fine with leaders meanwhile gandhi himself said congress should never political party but you guys keep his photo and politics ‍♂️,-0.1101,-0.08808
isme modi kaha mix diya just because also gujju you cant extend this previlage har dik,-0.1326,-0.10608000000000001
didnt see mention vijay mallya there though dont you trust modi modi investigated congress leaders thoroughly and they didnt find any corruption they got bail dont antinational not trusting modi,-0.1953,-0.15624000000000002
was told that modi was not known outside gujarat 2014 prove point contested from varanasi has cultural significance and gave him seats for his decision are history here prediction will lose amethi prove picking wayanad ,-0.1531,-0.12248000000000002
manish how much rupees paid you courrept kumar swami for doing dalali raid conducted income tax department lot black money found with benami propertynow jaichands like you says its conspiracy modi government,-0.2263,-0.18104
balakot air strike never thought about political future says modi ,-0.128,-0.1024
but this time modi again dont want any chowkidar chaiwalawe need leader lead our country,-0.0857,-0.06856
all nationalist leaders who saved respective nationscultures from genocidal invaders these nincompoops will pick hitler for theatrics while euuk are suffering demographic invasion from those who hate every nonbeliever hes expecting darwins einsteins,-0.296,-0.2368
bjp has taken the people bengaluru south for granted vote for the candidate not modi wont come listen our issues and this guy just kid will not send someone who will shame ,-0.2732,-0.21856
modi the prime minister first then from bjp why opposition worried has not previous prime ministers addressed the nation any new development like 1st satellite launchfirst missile launch pokhran pokhran iiits called modi phobia ,-0.3182,-0.25456
madam think you have lost big way she knows what modi have done for divyang,-0.3182,-0.25456
very foolish scheme will workless people dont have any vision for creating jobs industries this will only one person can modi hai mulin hai bye pappu,-0.2342,-0.18736
"
congress has work hard reach the voters with because media will not going help congressbecoz media functioning pet modi ाेशबचा ौीाीोै ",-0.3732,-0.29856
vivek oberoi absolute master doing villain roles eagerly waiting for narendra modi biopic ,-0.25,-0.2
now that amar singh singing modi dhun his whole gang might start changing color one one opportunist vultures,-0.2732,-0.21856
media also have never ask modi many critical issuespoints related country his degree other issues,-0.3182,-0.25456
common things among them are looted the nation enjoyed prior 2014 during congress era had shut down their business ran away during modi era exile they are either pleading pay back arrested pleading escape arrest citing medical issues,-0.2263,-0.18104
"these people expect everything from modi onlybut wish have his opponents power
hey will you feels some shame",-0.1027,-0.08216000000000001
not with modi first human being and then indianbeing inhuman not patriotism boy you been taught wrongly the sakha which the biggest anti national hubs the country supporting modi any one wants anti nationalists modi,-0.1779,-0.14232
sir the time mumbai attack your government taken self safety pills and done nothing modi doing good nation wants apploude him again fully prepared this time ,-0.1313,-0.10504000000000001
"has clarified the agenda his party per his recent remarks the only thing they will they got chance form govt scraping the institutionlawsdeals those were finalized and set under modi govt
fortunatelythis fool going lose another election",-0.2263,-0.18104
ncbns speech kadapa accusing modi really very sad state affairs noted good administrator lacks basic ethics well does not have any after sharing dias with rahul sometime back disappointed,-0.1708,-0.13664
and then dare modi implement ,0.0,0.0
modi more publicity minister than prime minister rahul ,0.0,0.0
full text narendra modis speech mission shakti and indias asat missile ,0.0,0.0
live aap modis interaction with people across india ,0.0,0.0
"
modi bjp leaders neck deep corruption have added chowkidar before their names pretending custodiansthis tragic and insult the real chowkidar but people india will not fooled they know that chowkidar chor modi",-0.0449,-0.03592
but they still exist inspite the notifications dynasty dynasty whether ’ local national what’ qualifications maneka gandhi who sitting minister modi govt also her son,0.0,0.0
did they just revamp 2011 news make highly sensationalised announcement  and now bhakt junta will call modi space chowkidar also when asat capability has been available since 2011 ,0.0,0.0
yes the film will such embarrassment for modi and bjp third rate acting and grade portrayal,-0.0516,-0.041280000000000004
this governor independent india ,0.0,0.0
link for first minutes ,0.0,0.0
believe its the same way how says you are modi you are against india same same ,0.0,0.0
let see whether they show only modi others too will decide,0.0,0.0
modi diverting ppl attention from something fishy must going somewhere india ,0.0,0.0
releases list two candidates for ram kumar contest from kanpur and rambhual nishad contest from gorakhpur lok sabha constituencies read ,0.0,0.0
this what will happen modi future,0.0,0.0
chidambaram during congress regime didnt know who was but now whole world knows modi that not puppet,0.0,0.0
only one gamechanger 2019 lok sabha polls and that narendra modi arun jaitley ,0.0,0.0
even young neophyte politician like could anyday eat prime minister for breakfast oneonone debate his pathetic record years power that why engages rantandrave noninterview,-0.0516,-0.041280000000000004
modi india will again 2019 elections ,0.0,0.0
cpi marxist writes election commission over modis address the nation today mission shakti statesthis announcement comes the midst the ongoing election campaign where the himself candidate this clearly violation … ,-0.0194,-0.01552
correct only under modi institution independent,0.0,0.0
narendra modi hollowing the country modi works only for tycoon businessman,0.0,0.0
ashutosh not all mental slave family modi unbeatable from anywhere india,0.0,0.0
when same did modi was masterstroke ,0.0,0.0
"modi targets rahul gandhis temple run rajasthan source aaj tak via dailyhunt download now
",0.0,0.0
will get absolute majority under modis leadership nitin gadkari full interview here ,0.0,0.0
modi interact with chowkidars part main bhi chowkidar campaign india news times india ,0.0,0.0
modi government will remove all intruders from bengal shah ,0.0,0.0
what are with modi ,0.0,0.0
the need india everyone should working for modi once again,0.0,0.0
declares space superpower downed — ,0.0,0.0
priyanka gandhi who had thursday triggered wild speculation across political and media circles with her offhand remark that she was open contesting from varanasi further heightened the buzz with her remark ,0.0,0.0
today modi addressing the nation ,0.0,0.0
not ashamed make allegations against modi without any evidence that protecting jagan all the cases are court charge sheets were filed cbied trials are going how can interfere court cases there are higher courts appeal have problem,-0.0377,-0.03016
े ी ुा िा ेो ़ो समझो what modi did not tell you address nation india had achieved asat capabilities way back 2012 via ,0.0,0.0
new delhi goair has withdrawn its boarding passes with photographs prime minister narendra modi and gujarat chief minister vijay rupani the airline said ,0.0,0.0
northeast with modi,0.0,0.0
you are with modi you with india and you are antai modi you are antai india ,0.0,0.0
thought was modi who invited the isi inspect our airbase,0.0,0.0
balanced coverage expected from nation birthed lee kuan yew  india shoots down satellite joining space superpowers modi ,0.0,0.0
how election commission allowing modi photo for advertising things during election time this done guindy railway station chennai ,0.0,0.0
2nd the list modi amit shah follows next ,0.0,0.0
actually modi shows the actual power indian prime minister otherwise manmohan singh was only effigy soniya gandhi,0.0,0.0
"india have already but tested today
this the counter nyay scheme
modi first who read drdo press release
bhgwan bhla kre",0.0,0.0
the country shd ’ hands ths ppl who rulled decade and nation still under development the nation needs modi again ,0.0,0.0
then dont let modi get away without fulfilling lets make him for another terms,0.0,0.0
"
nyay scheme will remonetise what modi demonetisedcongress president ",0.0,0.0
"live the ministry external affairs said statement that india has intention entering into arms race outer space
more updates ",0.0,0.0
"there are three types prani the earth right now
parrot tain tain
rahul gandhi rafel rafel
arvind kejrival modi modi ",0.0,0.0
now you genius dont say that this awfulness devolved india under modi regime,0.0,0.0
whats achievement modi here heights,0.0,0.0
ajji haann aur tumhaare baap desh nahi hai sudhar jaaaooo you guys are the biggest antinationals all time open your perspective little modi not india and india not modi never expected this from young lad ,0.0,0.0
ppl telling modi said will give lakhs crore loan waive off just shows that quality education not upto the mark ppl are educated but are ending with absolutely brains even basic common sense many pappus the country,0.0,0.0
this another feku and jhoot the italian family bcz under modi already everybody earning above 84000 annually india dey will only provide annual income less than 72000,0.0,0.0
lok sabha elections 2019 modi kickstart lok sabha poll campaign from meerut today lok sabha elections hindustan times ,0.0,0.0
don’ and joins bring modi again and people must ask the question what happened during five years where ,0.0,0.0
"probjp pages not only spent over 4cr political ads facebook month but are also offering tshirts exchange for vote for modi reports
",0.0,0.0
modi sir yours transparent governmentpeople india expect thatjai hind,0.0,0.0
modi has done this just because its election time after elections they will remove him from the list ,0.0,0.0
6600 baat galat aur apke aur hamare pure desh mananiya shri modi ghumne gaye uska natija pakistan jake pucho see the basic difference time 2611 and pulwama juth felana band karo aur why congress was not given permission for space shakti,0.0,0.0
peoples amethi must use theirs own brain experiences and what they are experiencing for years and modi government has done,0.0,0.0
may modi raj job paya govt job,0.0,0.0
actuallywe need modi again,0.0,0.0
are all bjp workers modi should become governor kalyan singh times india ► ,0.0,0.0
agree with you but modi the one who keep bashing nehru for everything wrong today without nehru might have been like somalia something and should acknowledge that,-0.0387,-0.03096
one one gandhi telling what plans  one one modi telling how nehru didnt let him work  ,0.0,0.0
such type people should hanged pak understand only one langvage thats modi langvage,0.0,0.0
modi addressing the nation live ,0.0,0.0
"announcement mission shakti highlighted ’ capacity for mass messaging
",0.0,0.0
"but according you all
modi will loose poll battle then you see your house sibbal you win why not you should instead talk your plans will talk about their grow ",-0.0387,-0.03096
and was just waiting for the election rescue the poor people those are suffered during last years they have saved the schemes for last years use against ,-0.0516,-0.041280000000000004
was waiting for the comments jai jai modi ghar ghar modi,0.0,0.0
should vote modi for ews reservation ,0.0,0.0
london the stage set for busy period indian extraditionrelated activity the courts liquor baron vijay mallyas high court appeal moves forward for ,0.0,0.0
bcos modi you are getting full data pack 399,0.0,0.0
modi hails indias arrival space power after shoots down satellite test,0.0,0.0
bjp will get seats uttar pradesh bjp will get 150 seats across india the nationwide angst against modi being hidden editors delhi,0.0,0.0
swachh bharat mission taking rapid strides under modi govt via namo app ,0.0,0.0
even modi cant write tries honestly however diharidaily wager can write lot inflate their earnings pamper motabhai for next day work btw also dihari yes sorry,-0.0207,-0.016560000000000002
modi tsunami shall wipe them all,0.0,0.0
then modi should counter press conference,0.0,0.0
narrative has been change its modi again 2019,0.0,0.0
wordcloud modis speech for the really ,0.0,0.0
because three people that say modi will again elected the prime minister modi amit shah and rahul gandhi bjp national general secretary ,0.0,0.0
didn’ get this logic did modi shah the calculation their own there must somebody who put the numbers together isn’ ,0.0,0.0
voted for modi woh,0.0,0.0
modi mumkin salute our scientists,0.0,0.0
only modi government,0.0,0.0
and out modi,0.0,0.0
modi too back inter sticks masters entire political science ,0.0,0.0
rift widen tripura bjp shah and modi come for poll campaign ,0.0,0.0
leader goes hammer and tongs against meeting ,0.0,0.0
modiji had said eliminate black money from the root then the money note that had become blackened with blood and sweat the demonetizationthose money was replaced new moneywah modi wah ,0.0,0.0
waiting for rally this star campaigner and people shouting modi modi,0.0,0.0
opinion now should have already happened with modi the helm possibly not happening because inept ministers heading the department maybe next term will happen,0.0,0.0
why doesn’ modi talk about his government’ achievements because there are none ाा ,0.0,0.0
desh liye kya kar sakata hai you have not single point stand against modi modi for ever,0.0,0.0
that costume and that action ,0.0,0.0
drdo had started work 2010 years work minutes test and chest thumping modi and bjp least till elections couldnt have been more strategic timing ,0.0,0.0
you are always crying modi destroyed the democracy but original culprit you,-0.0516,-0.041280000000000004
seems you didnt understand statement said was check how modi government eliminated the leakage using aadhar,0.0,0.0
guard that india gets modi again and forever ,0.0,0.0
planning produce more malayas and nirav modis bring coalgate cwg 2g20,0.0,0.0
sir you only you are our modi always need you for the devlopment paschimi delhi our country,0.0,0.0
taxes modi film,0.0,0.0
sorry say modi jee voted that shld throw out curruption from root but might our expectations was wrong did wrong promise and base promise have made voted won and never full filled promises ,-0.0711,-0.05688
during congress rule when asked children what would you become future answer was doctor engineer teacher police this modi era bhakts and sanghis will ask children become chaiwala pakode wala chowkidar,0.0,0.0
answer why does modi travel charteredgovernment aircraft when many people the country not get one square meal day,0.0,0.0
"its unfortunate hear that indias gdp nos not reliable and not believed investors
also ground levelif gdp growingwhere new jobs
thanks moditeam ",-0.0258,-0.020640000000000002
sfio has challenged the december last years order delhihc which had granted bail managing director adarsh credit cooperative society mukesh modi and rahul modi who were arrested the agency,0.0258,0.020640000000000002
"raghuram rajan one the one had criticizes modi saying the govt scope too big bureaucracy big etc
and the same time supports rahul gandhis minimum basic income scheme funded the govt run the bureaucracy
heights hypocrisy
",0.0258,0.020640000000000002
once congress officially said ram does not exists now they want want ram mandir contruction and roaming all over the country becoming pseudo janeu dhari hindu politics insan kya kya karva dwti after this ask what modi did for hindus ,0.1531,0.12248000000000002
even nehru suggested this idea long back during 5162 but due lack satellite they kept rest all ready but manmohan changed the board was too old and modi press the button after replacing the new board,0.0772,0.06176000000000001
the greed incompetence and obstinacy and overconfidence some the dtatenunits congress proving blessing for congress and our country will served better holds abeyance some the atomy has afforded the state units ,0.0258,0.020640000000000002
would pick fascist like modi anyday against ostich herd tiger mom driven weed smokin delusional layabout without single decent act his credit ,0.128,0.1024
one more term for modi and this will become reality south should vigilant though telugu states especially shouldnt turn into what karnataka has become today,0.1779,0.14232
fully vindicated modis statement vijay mallya … faces extradition india fraud and money laundering charges … was big win for india you mustve … ,0.2484,0.19872
nothing empty vessels sound much what could they when nirav fled along with another example going now ,0.1511,0.12088000000000002
its legal modi did ,0.128,0.1024
for chowkidar representative mahatma gandhis concept trusteeship modi main bhi chowkidar event ,0.128,0.1024
there compition here man modi far far ahead this race can liye being constitutional post even having responsible for country law and order could even talk about other peoples wrong doing lol dont think any past did ,0.25,0.2
ppl pakistan should never trust anyone who’ hand covered with blood muslims modi that person,0.1275,0.10200000000000001
either fool rajan crook gave modi list who was friend guide philosopher modi were they drinking buddies even know how system operates,0.0772,0.06176000000000001
